Comment,Designator,Footprint,LCSC
BZT52C3V9,"D1,D2,D3,D4",D_SOD-123,C107594
AMS1117-2.5,U2,SOT-223-3_TabPin2,C12087
22uF,C21,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C129303
10uF,"C19,C20",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
TXS0108EPWR,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C17206
1k,"R22,R23,R24,R28,R29,R30,R34,R35,R36",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
2k,"R19,R20,R21,R25,R26,R27,R31,R32,R33",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17604
510,"R1,R10,R11,R12,R13,R14,R15,R16,R2,R5,R6,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17734
180,"R17,R18",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25270
1,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25271
1uF,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
