Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C18,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.808,-82.9564,180.0,top
C19,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.626,-71.882,180.0,top
C20,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.093,-86.9442,0.0,top
C21,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.7592,-98.5,180.0,top
D1,BZT52C3V9,D_SOD-123,131.064,-57.404,-90.0,top
D2,BZT52C3V9,D_SOD-123,134.5692,-57.404,-90.0,top
D3,BZT52C3V9,D_SOD-123,150.368,-57.404,-90.0,top
D4,BZT52C3V9,D_SOD-123,154.051,-57.405,-90.0,top
R1,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.6,-58.42,-90.0,top
R2,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.395,-58.42,-90.0,top
R5,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.685,-58.42,-90.0,top
R6,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.48,-58.42,-90.0,top
R7,1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.5692,-98.5012,180.0,top
R9,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.416,-94.996,0.0,top
R10,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.432,-97.282,0.0,top
R11,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.432,-99.568,0.0,top
R12,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.416,-101.854,0.0,top
R13,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.416,-104.14,0.0,top
R14,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.432,-106.293,0.0,top
R15,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.416,-108.458,0.0,top
R16,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,165.354,-136.398,90.0,top
R17,180,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.519669,-44.525,180.0,top
R18,180,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.519669,-47.7,180.0,top
R19,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-44.525,180.0,top
R20,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-46.43,180.0,top
R21,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-48.335,180.0,top
R22,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-50.24,180.0,top
R23,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-52.145,180.0,top
R24,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-54.05,180.0,top
R25,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-68.655,180.0,top
R26,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-70.56,180.0,top
R27,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-72.465,180.0,top
R28,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-74.37,180.0,top
R29,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-76.275,180.0,top
R30,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-78.18,180.0,top
R31,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-56.59,180.0,top
R32,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-58.495,180.0,top
R33,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-60.4,180.0,top
R34,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-62.305,180.0,top
R35,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-64.21,180.0,top
R36,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.804669,-66.115,180.0,top
U1,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,144.272,-103.124,270.0,top
U2,AMS1117-2.5,SOT-223-3_TabPin2,132.982,-92.6592,90.0,top
